data;reais
03/02/2020;50000
04/02/2020;1243000
05/02/2020;2952000
06/02/2020;5545000
07/02/2020;4685000
08/02/2020;0
09/02/2020;0
10/02/2020;0
11/02/2020;746500
12/02/2020;3918000
13/02/2020;10493000
14/02/2020;0
15/02/2020;0
16/02/2020;0
17/02/2020;4888000
18/02/2020;722000
19/02/2020;3641400
20/02/2020;2737800
21/02/2020;2330000
22/02/2020;0
23/02/2020;0
24/02/2020;0
25/02/2020;0
26/02/2020;12057500
27/02/2020;6766400
28/02/2020;3601200
29/02/2020;0
01/03/2020;0
02/03/2020;2326000
03/03/2020;1004000
04/03/2020;3133000
05/03/2020;1415000
06/03/2020;1756950
07/03/2020;0
08/03/2020;0
09/03/2020;1645000
10/03/2020;4108500
11/03/2020;2493800
12/03/2020;2159090
13/03/2020;2830000
14/03/2020;0
15/03/2020;0
16/03/2020;6109000
17/03/2020;8870000
18/03/2020;17646300
19/03/2020;18254220
20/03/2020;5378500
21/03/2020;0
22/03/2020;0
23/03/2020;1300000
24/03/2020;2625000
25/03/2020;1990000
26/03/2020;0
27/03/2020;600000
28/03/2020;0
29/03/2020;0
30/03/2020;1180000
31/03/2020;1250000
01/04/2020;1136000
02/04/2020;190000
03/04/2020;850000
04/04/2020;0
05/04/2020;0
06/04/2020;260000
07/04/2020;1445000
08/04/2020;100000
09/04/2020;2145000
10/04/2020;0
11/04/2020;0
12/04/2020;0
13/04/2020;170000
14/04/2020;495000
15/04/2020;2460000
16/04/2020;161000
17/04/2020;1050000
18/04/2020;0
19/04/2020;0
20/04/2020;980000
21/04/2020;0
22/04/2020;1235000
23/04/2020;65000
24/04/2020;1230000
25/04/2020;0
26/04/2020;0
27/04/2020;865000
28/04/2020;1995000
29/04/2020;677500
30/04/2020;369500
01/05/2020;0
02/05/2020;0
03/05/2020;0
04/05/2020;0
05/05/2020;1978000
06/05/2020;1227000
07/05/2020;3329000
08/05/2020;8456000
09/05/2020;25000
10/05/2020;0
11/05/2020;9078000
12/05/2020;2275000
13/05/2020;5996000
14/05/2020;1779900
15/05/2020;5720000
16/05/2020;0
17/05/2020;0
18/05/2020;1457800
19/05/2020;1244000
20/05/2020;2921800
21/05/2020;3041500
22/05/2020;4325000
23/05/2020;0
24/05/2020;0
25/05/2020;5859000
26/05/2020;1724000
27/05/2020;485000
28/05/2020;5029500
29/05/2020;2448500
30/05/2020;0
31/05/2020;0
01/06/2020;2420000
02/06/2020;4498000
03/06/2020;6015000
04/06/2020;495000
05/06/2020;3762000
06/06/2020;0
07/06/2020;0
08/06/2020;1996000
09/06/2020;871000
10/06/2020;1480000
11/06/2020;0
12/06/2020;1517000
13/06/2020;0
14/06/2020;0
15/06/2020;1347800
16/06/2020;1606000
17/06/2020;2455000
18/06/2020;1950000
19/06/2020;1785000
20/06/2020;0
21/06/2020;0
22/06/2020;2805000
23/06/2020;660000
24/06/2020;1846000
25/06/2020;6824000
26/06/2020;1405000
27/06/2020;0
28/06/2020;0
29/06/2020;3120000
30/06/2020;2389900
01/07/2020;678000
02/07/2020;1630000
03/07/2020;901000
04/07/2020;0
05/07/2020;0
06/07/2020;940000
07/07/2020;570000
08/07/2020;13542000
09/07/2020;7702990
10/07/2020;3786100
11/07/2020;0
12/07/2020;5000000
13/07/2020;4366000
14/07/2020;2515120
15/07/2020;1053990
16/07/2020;4601000
17/07/2020;1860000
18/07/2020;0
19/07/2020;0
20/07/2020;5179000
21/07/2020;3225000
22/07/2020;6245000
23/07/2020;6868000
24/07/2020;2623000
25/07/2020;0
26/07/2020;0
27/07/2020;1727000
28/07/2020;3877000
29/07/2020;2317000
30/07/2020;2139000
31/07/2020;4977100
01/08/2020;0
02/08/2020;0
03/08/2020;4949000
04/08/2020;4588000
05/08/2020;5665000
06/08/2020;4381000
07/08/2020;6532100
08/08/2020;0
09/08/2020;0
10/08/2020;552000
11/08/2020;4397000
12/08/2020;4506000
13/08/2020;1742001
14/08/2020;2817000
15/08/2020;0
16/08/2020;0
17/08/2020;4699500
18/08/2020;6665000
19/08/2020;5273000
20/08/2020;10399000
21/08/2020;4780150
22/08/2020;0
23/08/2020;0
24/08/2020;4377900
25/08/2020;4508000
26/08/2020;2790000
27/08/2020;3285600
28/08/2020;3868000
29/08/2020;0
30/08/2020;0
31/08/2020;8052500
01/09/2020;3260000
02/09/2020;5753000
03/09/2020;1860000
04/09/2020;7250000
05/09/2020;0
06/09/2020;0
07/09/2020;0
08/09/2020;10923000
09/09/2020;3354900
10/09/2020;8560000
11/09/2020;9914000
12/09/2020;0
13/09/2020;0
14/09/2020;7819500
15/09/2020;10736500
16/09/2020;10135000
17/09/2020;7520000
18/09/2020;9796000
19/09/2020;0
20/09/2020;0
21/09/2020;7628500
22/09/2020;3020000
23/09/2020;7848000
24/09/2020;6840000
25/09/2020;3662010
26/09/2020;0
27/09/2020;0
28/09/2020;876000
29/09/2020;4201000
30/09/2020;1481000
01/10/2020;2715000
02/10/2020;2114900
03/10/2020;0
04/10/2020;0
05/10/2020;1759000
06/10/2020;7408000
07/10/2020;7984000
08/10/2020;4718700
09/10/2020;7423000
10/10/2020;0
11/10/2020;0
12/10/2020;0
13/10/2020;5950000
14/10/2020;7651000
15/10/2020;6070000
16/10/2020;5015000
17/10/2020;0
18/10/2020;0
19/10/2020;12110000
20/10/2020;1811000
21/10/2020;11803000
22/10/2020;4867000
23/10/2020;2939000
24/10/2020;0
25/10/2020;550010
26/10/2020;3960000
27/10/2020;5054000
28/10/2020;6595000
29/10/2020;2044000
30/10/2020;1608000
31/10/2020;0
01/11/2020;0
02/11/2020;0
03/11/2020;19738900
04/11/2020;6062000
05/11/2020;4657000
06/11/2020;1467000
07/11/2020;0
08/11/2020;0
09/11/2020;3684000
10/11/2020;3159000
11/11/2020;9312390
12/11/2020;13955000
13/11/2020;29892600
14/11/2020;0
15/11/2020;0
16/11/2020;6473000
17/11/2020;2355000
18/11/2020;5274000
19/11/2020;2067000
20/11/2020;5789900
21/11/2020;0
22/11/2020;0
23/11/2020;9990499
24/11/2020;7163000
25/11/2020;4720000
26/11/2020;11635000
27/11/2020;26662800
28/11/2020;0
29/11/2020;0
30/11/2020;4830000
01/12/2020;16585700
02/12/2020;22577000
03/12/2020;9778000
04/12/2020;11050000
05/12/2020;0
06/12/2020;0
07/12/2020;21890000
08/12/2020;13003000
09/12/2020;19434500
10/12/2020;9762600
11/12/2020;1885000
12/12/2020;0
13/12/2020;0
14/12/2020;13828000
15/12/2020;9680000
16/12/2020;9611895
17/12/2020;6670000
18/12/2020;2809500
19/12/2020;0
20/12/2020;0
21/12/2020;14491000
22/12/2020;3445000
23/12/2020;7120500
24/12/2020;0
25/12/2020;0
26/12/2020;0
27/12/2020;0
28/12/2020;15467000
29/12/2020;23017000
30/12/2020;3970000
31/12/2020;333000
01/01/2021;0
02/01/2021;0
03/01/2021;0
04/01/2021;9805000
05/01/2021;2418000
06/01/2021;4650000
07/01/2021;5871000
08/01/2021;9636500
09/01/2021;0
10/01/2021;0
11/01/2021;14759000
12/01/2021;2865000
13/01/2021;4462000
14/01/2021;13193000
15/01/2021;5694000
16/01/2021;0
17/01/2021;0
18/01/2021;17583000
19/01/2021;5635000
20/01/2021;7560000
21/01/2021;7527000
22/01/2021;5775000
23/01/2021;0
24/01/2021;0
25/01/2021;0
26/01/2021;7119000
27/01/2021;6710000
28/01/2021;10197400
29/01/2021;9683000
30/01/2021;0
31/01/2021;0
01/02/2021;13902000
02/02/2021;3274700
03/02/2021;8735500
04/02/2021;9180000
05/02/2021;1582900
06/02/2021;7771500
07/02/2021;0
08/02/2021;7350000
09/02/2021;6421500
10/02/2021;4897600
11/02/2021;2832000
12/02/2021;2765800
13/02/2021;0
14/02/2021;0
15/02/2021;0
16/02/2021;0
17/02/2021;16036000
18/02/2021;13707500
19/02/2021;7911900
20/02/2021;0
21/02/2021;0
22/02/2021;4272000
23/02/2021;13826500
24/02/2021;7255000
25/02/2021;14661000
