Semana;qt
20206;116
20207;151
20208;236
20209;145
202010;145
202011;240
202012;288
202013;28
202014;16
202015;11
202016;20
202017;25
202018;48
202019;106
202020;126
202021;137
202022;172
202023;102
202024;68
202025;108
202026;119
202027;105
202028;148
202029;148
202030;174
202031;154
202032;159
202033;149
202034;160
202035;144
202036;162
202037;119
202038;187
202039;168
202040;114
202041;133
202042;116
202043;137
202044;138
202045;108
202046;166
202047;112
202048;195
202049;242
202050;184
202051;157
202052;81
202053;136
20211;0
20212;118
20213;165
20214;149
20215;153
20216;190
20217;156
20218;88
20219;147
